no_demande,arrondissement,date_premiere_inspection,statut_demande,nb_logements_inspectes,nb_non_conformite,taux_correction,quartier_de_reference_num,quartier_de_reference_nom,x,y,longitude,latitude
3003202866,"Verdun","2022-08","Fermée",4,6,,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003202875,"Verdun","2022-08","Fermée",0,0,,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003202878,"Verdun","2022-09","Fermée",0,0,,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003202880,"Verdun","2022-10","Fermée",29,116,,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003202883,"Verdun","2022-09","Fermée",0,0,,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003202885,"Verdun","2022-08","Fermée",3,18,,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003252902,"Verdun","2023-03","Étude",22,90,0.3818,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003279483,"Verdun","2023-06","Étude",0,0,0,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003279493,"Verdun","2023-06","Étude",0,0,0,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003279585,"Verdun","2023-06","Étude",0,0,0,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
3003279592,"Verdun","2023-06","Étude",0,0,0,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
